code,language_variety_id,name,name_en,endonym,direction,base_language,script_code,region_code,variants_json,private_use_json
ar-Arab,01K1GWHD005HX5VM8BRKQQCJD9,阿拉伯文,Arabic,,rtl,ar,Arab,,[],[]
bn-Beng,01K1GWHD00QQYESMP4K7GFBNJZ,孟加拉文,Bengali,,ltr,bn,Beng,,[],[]
bo-Tibt,01K1GWHD00WDR06XJVBKS1DFR6,藏文,Tibetan,,ltr,bo,Tibt,,[],[]
cdo-Hans,01K1GWHD00VVTZNFAZAB7SWPDY,简体,Simplified,,ltr,cdo,Hans,,[],[]
cdo-Hant,01K1GWHD00VVTZNFAZAB7SWPDY,傳承體,Traditional,,ltr,cdo,Hant,,[],[]
cjy-Hans,01K1GWHD00KWTC0V9NCJS1THRW,简体,Simplified,,ltr,cjy,Hans,,[],[]
cjy-Hant,01K1GWHD00KWTC0V9NCJS1THRW,傳承體,Traditional,,ltr,cjy,Hant,,[],[]
cmn-Hans,01K1GWHD00NMQC20PMZV031H78,简体,Simplified,华语,ltr,cmn,Hans,,[],[]
cmn-Hant,01K1GWHD00NMQC20PMZV031H78,傳承體,Traditional,華語,ltr,cmn,Hant,,[],[]
cnp-Hans,01K1GWHD00TEN6QB2KD3B1WPHZ,简体,Simplified,,ltr,cnp,Hans,,[],[]
cnp-Hant,01K1GWHD00TEN6QB2KD3B1WPHZ,傳承體,Traditional,,ltr,cnp,Hant,,[],[]
cpx-Hans,01K1GWHD00J5RYZ74NPQ5N48XC,简体,Simplified,,ltr,cpx,Hans,,[],[]
cpx-Hant,01K1GWHD00J5RYZ74NPQ5N48XC,傳承體,Traditional,,ltr,cpx,Hant,,[],[]
csp-Hans,01K1GWHD00YF6DTZ9RX5WQ3ZTN,简体,Simplified,,ltr,csp,Hans,,[],[]
csp-Hant,01K1GWHD00YF6DTZ9RX5WQ3ZTN,傳承體,Traditional,,ltr,csp,Hant,,[],[]
czo-Hans,01K1GWHD00JSHYJDH9H58PMH49,简体,Simplified,,ltr,czo,Hans,,[],[]
czo-Hant,01K1GWHD00JSHYJDH9H58PMH49,傳承體,Traditional,,ltr,czo,Hant,,[],[]
de-Latn,01K1GWHD00NHYJTK7WVNVC9TZM,拉丁,Latin,,ltr,de,Latn,,[],[]
en-Latn,01K1GWHD001Z1VXEKX6Q1PEMH6,拉丁,Latin,,ltr,en,Latn,,[],[]
en-Latn-GB,01K1GWHD001Z1VXEKX6Q1PEMH6,拉丁,Latin,,ltr,en,Latn,GB,[],[]
en-Latn-US,01K1GWHD001Z1VXEKX6Q1PEMH6,拉丁,Latin,,ltr,en,Latn,US,[],[]
es-Latn,01K1GWHD00AXX4SZ3A9R25J6CQ,拉丁,Latin,,ltr,es,Latn,,[],[]
fa-Arab,01K1GWHD00X8BRJJA1WAS53Q51,阿拉伯文,Arabic,,rtl,fa,Arab,,[],[]
fr-Latn,01K1GWHD00K4EH8FK4MPMY466J,拉丁,Latin,,ltr,fr,Latn,,[],[]
gan-Hans,01K1GWHD005469S094YTAWG6M8,简体,Simplified,,ltr,gan,Hans,,[],[]
gan-Hant,01K1GWHD005469S094YTAWG6M8,傳承體,Traditional,,ltr,gan,Hant,,[],[]
hak-Hans,01K1GWHD00C6XD8MQE0CVQS028,简体,Simplified,,ltr,hak,Hans,,[],[]
hak-Hant,01K1GWHD00C6XD8MQE0CVQS028,傳承體,Traditional,,ltr,hak,Hant,,[],[]
hi-Deva,01K1GWHD00229V3ETFHZ4V7GZG,天城文,Devanagari,,ltr,hi,Deva,,[],[]
hsn-Hans,01K1GWHD00JGND3KPZC9JYAXD5,简体,Simplified,,ltr,hsn,Hans,,[],[]
hsn-Hant,01K1GWHD00JGND3KPZC9JYAXD5,傳承體,Traditional,,ltr,hsn,Hant,,[],[]
id-Latn,01K1GWHD00WAHCW7XG1FKE0N3P,拉丁,Latin,,ltr,id,Latn,,[],[]
it-Latn,01K1GWHD00B485N7Y5MXA8Y00A,拉丁,Latin,,ltr,it,Latn,,[],[]
ja-Hani,01K1GWHD000DXGMDG05PJ4T2E4,漢字,Kanji,漢字,ltr,ja,Hani,,[],[]
ja-Hrkt,01K1GWHD000DXGMDG05PJ4T2E4,仮名,Kana,仮名,ltr,ja,Hrkt,,[],[]
ja-Jpan,01K1GWHD000DXGMDG05PJ4T2E4,日本語,Japanese,日本語,ltr,ja,Jpan,,[],[]
ja-Latn,01K1GWHD000DXGMDG05PJ4T2E4,ローマ字,Romaji,ローマ字,ltr,ja,Latn,,[],[]
