id,code,name,name_en,description,glottocode,origin,community_reason,alternate_names_json,references_json,parent_languoid_id
01K1GWHD005HX5VM8BRKQQCJD9,ar,العربية,Arabic,,stan1318,seed,major-world-language,[],[],glotto:arab1395
01K1GWHD00QQYESMP4K7GFBNJZ,bn,বাংলা,Bengali,,beng1280,seed,major-world-language,[],[],glotto:gaud1238
01K1GWHD00WDR06XJVBKS1DFR6,bo,བོད་སྐད་,Tibetan,,tibe1272,seed,major-east-asia-language,[],[],glotto:cent2346
01K1GWHD00VVTZNFAZAB7SWPDY,cdo,閩東語,Min Dong,,mind1253,seed,major-east-asia-language,[],[],glotto:coas1318
01K1GWHD00KWTC0V9NCJS1THRW,cjy,晉語,Jin Chinese,,jiny1235,seed,major-east-asia-language,[],[],glotto:nort3155
01K1GWHD00NMQC20PMZV031H78,cmn,華語,Mandarin Chinese,,mand1415,seed,major-east-asia-language,"[""普通话"",""国语"",""汉语"",""國語"",""漢語""]",[],glotto:mand1471
01K1GWHD00TEN6QB2KD3B1WPHZ,cnp,桂北平話,Northern Pinghua,,nort3268,seed,major-east-asia-language,[],[],glotto:ping1245
01K1GWHD00J5RYZ74NPQ5N48XC,cpx,莆仙話,Pu-Xian,,puxi1243,seed,major-east-asia-language,[],[],glotto:sout3421
01K1GWHD00YF6DTZ9RX5WQ3ZTN,csp,桂南平話,Southern Pinghua,,sout3250,seed,major-east-asia-language,[],[],glotto:ping1245
01K1GWHD00JSHYJDH9H58PMH49,czo,閩中語,Min Zhong,,minz1235,seed,major-east-asia-language,[],[],glotto:inla1267
01K1GWHD00NHYJTK7WVNVC9TZM,de,Deutsch,German,,stan1295,seed,major-world-language,[],[],glotto:glob1243
01K1GWHD001Z1VXEKX6Q1PEMH6,en,English,English,,stan1293,seed,major-world-language,[],[],glotto:macr1271
01K1GWHD00AXX4SZ3A9R25J6CQ,es,Español,Spanish,,stan1288,seed,major-world-language,[],[],glotto:cast1243
01K1GWHD00X8BRJJA1WAS53Q51,fa,فارسی,Persian,,west2369,seed,major-world-language,[],[],glotto:fars1255
01K1GWHD00K4EH8FK4MPMY466J,fr,Français,French,,stan1290,seed,major-world-language,[],[],glotto:glob1239
01K1GWHD005469S094YTAWG6M8,gan,贛語,Gan Chinese,,ganc1239,seed,major-east-asia-language,[],[],glotto:midd1354
