code,name,name_en,description,direction,base_language,script_code,region_code,variants_json,private_use_json,variety_key,glottocode,origin,community_reason,alternate_names_json,references_json,parent_languoid_id,latitude,longitude
en-GB,English (United Kingdom),English (United Kingdom),,ltr,en,,GB,[],[],glotto:stan1293,stan1293,seed,,[],[],glotto:macr1271,53.0,-1.0
en-US,English (United States),English (United States),,ltr,en,,US,[],[],glotto:stan1293,stan1293,seed,,[],[],glotto:macr1271,53.0,-1.0
nan-Latn-TW-pehoeji,臺灣台語（白話字）,Taiwanese Hokkien (Pe̍h-ōe-jī),,ltr,nan,Latn,TW,"[""pehoeji""]",[],glotto:minn1241,minn1241,seed,,[],[],glotto:sout3424,24.5,118.17
nan-Latn-TW-tailo,臺灣台語（臺羅）,Taiwanese Hokkien (Tâi-lô),,ltr,nan,Latn,TW,"[""tailo""]",[],glotto:minn1241,minn1241,seed,,[],[],glotto:sout3424,24.5,118.17
nan-x-chao1239,Min Nan (Chaozhou),Min Nan (Chaozhou),,ltr,nan,,,[],"[""chao1239""]",glotto:chao1239,chao1239,seed,,[],[],glotto:minn1241,,
ral,Raltic,Raltic,,ltr,ral,,,[],[],glotto:ralt1242,ralt1242,seed,,[],[],glotto:pait1250,25.0201,94.7381
swh,Swahili,Swahili,,ltr,swh,,,[],[],glotto:swah1253,swah1253,seed,,[],[],glotto:momb1256,-8.25605,37.624
und,Undetermined,Undetermined,,ltr,und,,,[],[],system:und,,system,,[],[],,,
wuu-x-ouji1238,Wu (Oujiang),Wu (Oujiang),,ltr,wuu,,,[],"[""ouji1238""]",glotto:ouji1238,ouji1238,seed,,[],[],glotto:wuic1234,27.94043,120.63338
wuu-x-taiz1238,Wu (Taizhou),Wu (Taizhou),,ltr,wuu,,,[],"[""taiz1238""]",glotto:taiz1238,taiz1238,seed,,[],[],glotto:wuch1236,,
x-emoji,Emoji 表情,Emoji,,ltr,x,,,[],"[""x-emoji""]",system:x-emoji,,system,,[],[],,,
x-image,圖片,Image,,ltr,x,,,[],"[""x-image""]",system:x-image,,system,,[],[],,,
zh-Hans-CN,简体中文,Simplified Chinese,,ltr,zh,Hans,CN,[],[],glotto:mand1415,mand1415,seed,,[],[],glotto:mand1471,40.0209,116.228
zh-Hant-TW,繁體中文,Traditional Chinese,,ltr,zh,Hant,TW,[],[],glotto:mand1415,mand1415,seed,,[],[],glotto:mand1471,40.0209,116.228
zyg-x-yang1286,Zhuang (Yangwang),Zhuang (Yangwang),,ltr,zyg,,,[],"[""yang1286""]",glotto:yang1286,yang1286,seed,,[],[],glotto:deba1238,23.091864,106.393188
