id,glottocode,preferred_name,level,iso639_3,parent_id,latitude,longitude,status,source_version
glotto:abin1243,abin1243,Abinomn,language,bsa,,-2.92281,138.891,active,5.3
glotto:abis1238,abis1238,Aewa,language,ash,,-1.284096,-75.084405,active,5.3
glotto:abkh1242,abkh1242,Abkhaz-Adyge,family,,,,,active,5.3
glotto:abun1252,abun1252,Abun,language,kgr,,-0.57073,132.416,active,5.3
glotto:adai1235,adai1235,Adai,language,xad,,31.6314,-92.0059,active,5.3
glotto:afro1255,afro1255,Afro-Asiatic,family,,,,,active,5.3
glotto:aika1237,aika1237,Aikanã,language,tba,,-12.6695,-60.5353,active,5.3
glotto:ainu1252,ainu1252,Ainu,family,,,,,active,5.3
glotto:algi1248,algi1248,Algic,family,,,,,active,5.3
glotto:alse1251,alse1251,Alsea-Yaquina,language,aes,,44.408,-123.94,active,5.3
glotto:amto1249,amto1249,Amto-Musan,family,,,,,active,5.3
glotto:anda1286,anda1286,Andaqui,language,ana,,2.74999,-76.0,active,5.3
glotto:ando1256,ando1256,Andoque,language,ano,,-0.53751,-72.0869,active,5.3
glotto:anem1249,anem1249,Anem,language,anz,,-5.54836,148.993,active,5.3
glotto:anga1289,anga1289,Angan,family,,,,,active,5.3
glotto:anim1240,anim1240,Anim,family,,,,,active,5.3
glotto:araf1243,araf1243,Arafundi,family,arf,,,,active,5.3
glotto:arau1255,arau1255,Araucanian,family,,,,,active,5.3
glotto:araw1281,araw1281,Arawakan,family,,,,,active,5.3
glotto:araw1282,araw1282,Arawan,family,,,,,active,5.3
glotto:arti1236,arti1236,Artificial Language,family,,,,,active,5.3
glotto:arut1244,arut1244,Arutani,language,atx,,4.0673594,-62.8676118,active,5.3
glotto:atac1235,atac1235,Atacame,language,,,0.834931,-79.778137,active,5.3
glotto:atak1252,atak1252,Atakapa,language,aqp,,30.9121,-93.0827,active,5.3
glotto:atha1245,atha1245,Athabaskan-Eyak-Tlingit,family,,,,,active,5.3
glotto:atla1278,atla1278,Atlantic-Congo,family,,,,,active,5.3
glotto:aust1305,aust1305,Austroasiatic,family,,,,,active,5.3
glotto:aust1307,aust1307,Austronesian,family,,,,,active,5.3
glotto:ayma1253,ayma1253,Aymaran,family,,,,,active,5.3
glotto:baib1250,baib1250,Baibai-Fas,family,,,,,active,5.3
glotto:bain1263,bain1263,Baining,family,,,,,active,5.3
glotto:bang1363,bang1363,Bangime,language,dba,,14.8116,-3.77092,active,5.3
glotto:barb1265,barb1265,Barbacoan,family,,,,,active,5.3
glotto:basq1248,basq1248,Basque,language,eus,,43.2787,-1.31622,active,5.3
glotto:bayo1259,bayo1259,Bayono-Awbono,family,,,,,active,5.3
glotto:beot1247,beot1247,Beothuk,language,bue,,48.0,-57.0,active,5.3
glotto:bert1248,bert1248,Berta,language,wti,,10.6474,34.7042,active,5.3
glotto:beto1236,beto1236,Betoi-Jirara,language,,,7.223906,-71.420238,active,5.3
glotto:bilu1245,bilu1245,Bilua,language,blb,,-7.92388,156.663,active,5.3
glotto:bira1253,bira1253,Ongota,language,bxe,,5.29807,37.025,active,5.3
glotto:boga1247,boga1247,Bogaya,language,boq,,-5.54487,142.255,active,5.3
glotto:book1242,book1242,Bookkeeping,family,,,,,active,5.3
glotto:bora1262,bora1262,Boran,family,,,,,active,5.3
glotto:bord1247,bord1247,Border,family,,,,,active,5.3
glotto:boro1281,boro1281,Bororoan,family,,,,,active,5.3
glotto:bosa1245,bosa1245,Bosavi,family,,,,,active,5.3
glotto:bula1259,bula1259,Bulaka River,family,,,,,active,5.3
glotto:buna1274,buna1274,Bunaban,family,,,,,active,5.3
glotto:burm1264,burm1264,Burmeso,language,bzu,,-2.47582,138.203,active,5.3
glotto:buru1296,buru1296,Burushaski,language,bsk,,36.2161,74.8236,active,5.3
glotto:cadd1255,cadd1255,Caddoan,family,,,,,active,5.3
